date,global,AI 服务名,AI 任务,是否为pivot,公司名,中国/全球,规模,主营业务,todo: 筛选较大的公司,,,,,,,,,,
4/28/2023,tana AI,,,,Tana,,,,,,,,,,,,,,
4/28/2023,DocuSign AI,,,,DocuSign,,,,,,,,,,,,,,
4/29/2023,Netlify Ask Netlify,,,,Netlify,,,,,,,,,,,,,,
5/1/2023,Elementor AI,,,,Elementor,,,,,,,,,,,,,,
5/2/2023,"New Relic, New Relic Grok",,,,New Relic,,,,,,,,,,,,,,
5/2/2023,Nextdoor Assistant,,,,Nextdoor,,,,,,,,,,,,,,
5/3/2023,Sprig Replays,,,,Sprig,,,,,,,,,,,,,,
5/3/2023,SappChat,,,,SappChat,,,,,,,,,,,,,,
5/3/2023,Snap My AI,,,,Snap,,,,,,,,,,,,,,
5/4/2023,Slack GPT,,,,Slack,,,,,,,,,,,,,,
5/4/2023,Box AI,,,,Box,,,,,,,,,,,,,,
5/5/2023,Shopify AI Ads,,,,Shopify,,,,,,,,,,,,,,
5/5/2023,Atlas Marketing Octavus,,,,Atlas,,,,,,,,,,,,,,
